id;source;name;phone;has_website;website_url;yandex_url;rating;reviews_count;address;target_result
c98f7b4b-abda-476e-81da-ba62f8fb271f;yandex;Хочугладко;+7 (960) 077-01-10;0;;https://yandex.ru/maps/org/khochugladko/9834304874/;4,9;79;ул. Разведчика Ахмерова, 3, Казань;
1588fa3a-20d3-4d2b-b53e-6d170caee551;yandex;Sense;+7 (995) 686-95-88;0;;https://yandex.ru/maps/org/sense/216915884428/;4,9;127;Чистопольская ул., 88, Казань;
d5ec60b0-01a7-4b07-aab1-4d8369abca68;yandex;Anline. nails;+7 (919) 655-41-65;0;;https://yandex.ru/maps/org/anline_nails/22873117298/;5,0;62;ул. Натана Рахлина, 1, Казань;
40ead9e7-1975-4eb0-87e0-044b78b37928;yandex;Fingers;+7 (904) 764-20-44;0;;https://yandex.ru/maps/org/fingers/132092260207/;5,0;204;Чистопольская ул., 88, Казань;
985c83b4-c06e-4304-aeec-a07900bba30d;yandex;Тэти;+7 (843) 215-58-58;0;;https://yandex.ru/maps/org/teti/198320488400/;5,0;172;ул. Юлиуса Фучика, 108, Казань;
39deba69-ec91-4055-811f-301e281b36a7;yandex;Лиана;+7 (950) 323-54-49;0;;https://yandex.ru/maps/org/liana/239042123813/;4,6;124;Интернациональная ул., 9А, корп. 3, Казань;
50e3fd50-1c08-4b9d-a3ff-bf964b7e3bc9;yandex;Марафет;+7 (966) 240-14-10;0;;https://yandex.ru/maps/org/marafet/239489042921/;4,7;93;ул. Сибирский Тракт, 23, Казань;
1b0664f6-6145-46be-ac1d-d82adb894b2a;yandex;НаРесничках;+7 (965) 596-65-95;0;;https://yandex.ru/maps/org/naresnichkakh/99131655633/;;"Ещё нет отзывов
Написать отзыв";ул. Аметьевская Магистраль, 16, корп. 4, Казань;
2ace7ba2-924d-4047-bbbf-5fbac3210290;yandex;Kamillab;+7 (987) 296-06-16;0;;https://yandex.ru/maps/org/kamillab/163742196763/;4,6;189;ул. Касаткина, 11, Казань;
118731fe-3be1-4972-b949-82a894aba2dd;yandex;A’esthetic;+7 (987) 226-76-55;0;;https://yandex.ru/maps/org/a_esthetic/124603850496/;5,0;308;ул. Адоратского, 1А, Казань;
d5d18363-bffa-4b61-905f-ce35db97e288;yandex;Барбарис;+7 (919) 643-22-03;0;;https://yandex.ru/maps/org/barbaris/197827209977/;4,7;120;просп. Универсиады, 10, Казань;
201e2ec7-4a78-4ce1-ae31-db01a26c4aad;yandex;Top Chic;+7 (919) 697-24-79;0;;https://yandex.ru/maps/org/top_chic/148231557184/;5,0;155;Вербная ул., 1, Казань;
3ca9e937-9b60-4bb1-bf18-0e7fc912185b;yandex;Бигуди;+7 (843) 250-51-40;0;;https://yandex.ru/maps/org/bigudi/235879798222/;5,0;393;ул. Карбышева, 48, Казань;
689c8abd-c09d-4014-96e2-cd210cbad023;yandex;Beauty Room;+7 (909) 308-25-43;0;;https://yandex.ru/maps/org/beauty_room/183914382860/;4,9;160;ул. Натана Рахлина, 3, Казань;
f7664625-cb44-4fd4-8a7b-e02c590d97ba;yandex;Sava beauty;+7 (937) 625-33-66;0;;https://yandex.ru/maps/org/sava_beauty/1773346140/;5,0;571;ул. Адоратского, 1А, Казань;
26502e0a-2ddb-4865-be56-f6c1d5c29358;yandex;Добро;+7 (960) 050-15-51;0;;https://yandex.ru/maps/org/dobro/1355217611/;5,0;191;Чистопольская ул., 71А, Казань;
6fb94dfc-cfce-4507-bdec-45df8bd1b9f3;yandex;Estel by Сырисенков П.;+7 (987) 207-42-48;0;;https://yandex.ru/maps/org/estel_by_syrisenkov_p_/36533181505/;5,0;62;ул. Николая Ершова, 62, Казань;
3fe178f7-f9ec-4ce7-88cb-24461846caeb;yandex;Скоро буду;+7 (939) 318-39-00;0;;https://yandex.ru/maps/org/skoro_budu/192802597152/;4,4;119;просп. Альберта Камалеева, 32, Казань;
3aa60527-926f-457b-ada9-918a3aee5dfe;yandex;Не удается получить доступ к сайту;;0;;https://yandex.ru/maps/org/studiya_manikyura_pedikyura_i_arkhitektury_brovey/83071786533/;;;;
3b79a43b-51bf-4717-b48e-6c2cc872ad08;yandex;Не удается получить доступ к сайту;;0;;https://yandex.ru/maps/org/pryadki_v_poryadke/1727953255/;;;;
ea73a25c-d768-415a-ae1a-42bfa37e3d4f;yandex;Не удается получить доступ к сайту;;0;;https://yandex.ru/maps/org/zara_nails_studio/45102119011/;;;;
e8b616d9-88c6-4aea-895c-1a30019baf37;yandex;Не удается получить доступ к сайту;;0;;https://yandex.ru/maps/org/pavlov_studio/1241092064/;;;;
505c74f6-23fd-42ec-9137-dce0bf9a5521;yandex;Snegana_studio;+7 (987) 420-24-56;0;;https://yandex.ru/maps/org/snegana_studio/73015898549/;5,0;231;ул. Волкова, 7/29, Казань;
de20578b-77db-4789-bcde-cb88e45c1d65;yandex;Бьютидом;+7 (986) 904-55-88;0;;https://yandex.ru/maps/org/byutidom/26009069155/;4,9;231;Республика Татарстан (Татарстан), Казань, улица Родины;
2ff0fdee-10e6-4208-884c-fb3ab28cb757;yandex;Pudra;+7 (999) 759-79-45;0;;https://yandex.ru/maps/org/pudra/42462065873/;4,9;73;пр. Яраткан, 5, Казань;
31cfe953-7aff-48b5-876b-9dfa313da984;yandex;Trofimova Studio;+7 (908) 332-72-33;0;;https://yandex.ru/maps/org/trofimova_studio/235864070322/;4,9;37;Солдатская ул., 8, Казань;
276bffd4-74b7-4db4-85a2-3d4135b4da91;yandex;Julis Studio;+7 (966) 250-17-00;0;;https://yandex.ru/maps/org/julis_studio/15168595505/;5,0;272;ул. Натана Рахлина, 5, Казань;
